pt,eta,n_jets
25.5668809776803,0.8243444013249795,3
32.715676815424814,2.0673958600428706,0
23.047394243357907,0.2051464226250062,1
21.114595814006186,-0.13564844504566123,0
35.007377690451676,1.8104635479870939,1
22.20763379926247,1.1610604991893623,5
28.042229894016053,-0.38517580846046673,0
26.52237700339399,0.006223738390824103,4
34.99015652808965,0.2344570991265583,0
19.008286173637018,0.43417553352597943,3
41.62170342666724,-1.6279198211269368,5
16.2126629610065,-1.850981529361872,2
29.070367009898423,-1.0648680264029444,1
27.192268472366596,-1.1576861316136107,3
15.31674836772082,-0.7725888167670031,1
30.43467716178609,0.7616527705080051,5
19.879085596377134,-0.202714987589686,5
12.273382518804056,0.2356735260122259,3
32.590802797584594,-1.4691640920507139,3
9.399271333206112,-0.5539706435051341,3
13.766744365532404,0.7047091940938085,4
22.89430683647858,0.7139429498121621,2
34.8627370306579,-0.8694885938254895,5
31.4885313334716,0.1939948636554643,2
25.337665119293284,2.6386174241787983,0
7.397887215701195,-0.021117515106765763,4
15.75952899436721,-0.8318243353709344,3
17.936986050332386,-0.20851486723459228,5
11.903493895540485,0.11061252903219965,2
6.035794209538434,-0.18140205682865926,2
23.530948853815534,-0.03762564081180215,3
32.038951634029715,-1.7321361563242075,2
17.094204508191773,-1.1551565701031414,4
34.61947232087559,-0.17920228448579703,2
8.63082438508902,-0.19832156402692405,4
11.435003158079653,-0.6794271298320007,2
23.248593144439297,-0.2124163032917243,1
16.22436303774282,0.07321782649704643,5
30.59407102142791,1.0672961478294303,3
27.874295199875466,-0.11905408227126105,4
16.933223293640673,0.47892384635790386,3
9.214084568491618,-0.6499203617207052,2
15.769890070183173,0.6865148683181783,5
28.250254326521333,0.45087635713482804,2
31.25997255890693,1.0389804038157833,5
16.267442573417707,0.8561525549333854,2
6.0106920892022,0.7064827474573753,0
8.299202325967482,-0.1181008903893363,0
26.993739858125494,0.2939270724533618,5
16.764577744951033,1.2762107141418317,3
17.009379747429456,-0.7824894832833532,2
11.31332632221778,-0.7540893344362387,4
11.173499477883412,0.21771767754043436,3
34.301714371413006,0.49833562831854417,3
27.526759650900463,-0.9889277991168053,4
14.474705327920528,-0.08971507609597003,1
22.289571141536033,-0.11279852907454174,0
24.5196568020285,-2.658336138724165,4
49.84641507398541,-0.2635127871105117,0
10.561340063798859,-0.18878139941815955,4
24.338352678669644,-0.19235153138762298,0
34.208618711668876,1.6990971294927217,1
46.72837495548674,-1.4589579582106504,4
14.01956403993444,-0.9895470854455352,3
16.635336557855194,-3.134634957983201,4
30.75317989921701,-0.5770999994089688,3
7.310214487522455,-0.4747722649512011,0
25.696761529327432,-0.6119726116011074,5
59.494784344605236,1.329212807380512,1
27.218029082178635,1.0327410268043558,0
3.8435973230183667,0.09342806912076497,5
12.377963133231397,-0.44473566424783467,1
14.29442378448981,1.2314276017282366,3
38.50919160339494,-0.023709431803021954,2
19.327318865988204,-0.9819240467021494,4
6.08200522252329,-2.059498412981462,0
20.638406305266443,-0.5295773926748192,0
23.080890920175307,0.9055723406071303,2
15.452767795319179,2.7318464274517074,2
11.045858070482625,0.0739324154273711,4
62.97019013432342,-0.9184266181443651,3
34.269111314755165,-1.4219582499410566,0
35.96424826677031,0.6623458755667185,5
19.351754902746244,-2.117539262861122,2
13.871609661190927,0.6604141216858659,5
15.924391139966183,0.9812539275154947,5
8.614746678138387,0.5235353438794368,0
49.32634266233876,-0.2635940063262689,3
19.820679222245758,0.6779287842561774,2
43.3474218632109,0.20512604535395995,2
16.402708657934685,-0.9337486102327102,1
27.43910412374759,2.220494786850031,3
23.81774720894244,-0.4220152555326196,2
7.986724359565402,0.9309027605398912,1
52.70311982875067,-2.9023371392348576,1
16.708739714207447,1.5317650593371148,0
9.892910913136,1.7625164935854982,5
30.889680996297745,0.03580054455196586,4
21.266491478365097,0.6705252416853101,2
26.05425290245615,0.6702182179290753,2
22.538746137403464,-0.7713402835688691,0
4.194991797331879,0.6565467665272083,1
12.104730790818408,-0.9703565638470664,5
11.794731471316206,-0.7305083083743913,0
35.67504924810357,1.3523317718547585,0
21.736008794026574,1.1695892288402432,5
28.372798653833843,-0.8476506025389511,3
17.332565460205302,-0.8802916122012487,0
29.16369865429158,-0.7747159229492065,2
19.377869041968353,0.8791674797585889,4
18.54045258000145,-1.1999817369724766,2
23.724218653838804,0.4280551668431431,2
22.537457068846255,0.8962161727611535,3
74.0168664614584,-0.10589454035172013,3
12.015297267447334,1.2120764362379133,5
7.3574264728203325,-0.3651722033877509,1
25.727701138054066,-0.25662672119269725,1
13.155804685195147,-1.1726954773582277,0
3.780424675219739,1.2206128171442463,3
10.24635888617528,-0.9198245363746443,3
65.21606469516642,0.41972618125807104,2
11.806101398100981,-0.08557928055112171,4
5.624058317219628,-1.263339675733995,2
62.99108981834705,-0.7309237725879849,1
9.973432239989362,1.6594466868488806,3
86.23854645403662,0.24198905116137662,2
16.875107760441992,-1.2109804096402101,2
52.82334352279228,0.3663939448184302,2
18.286789474470975,-0.17533683791345414,5
